Date,Close/Last,Volume,Open,High,Low
08/02/2019,$117.35,1764385,$116.71,$117.66,$115.84
08/01/2019,$116.94,3406588,$116.15,$119.72,$115.74
07/31/2019,$112.52,1686588,$113.29,$113.5,$111.87
07/30/2019,$113.24,1141331,$113.86,$113.99,$112.71
07/29/2019,$114.1,859404,$113.67,$114.16,$113.04
07/26/2019,$114.02,880233,$113.77,$114.37,$113.4
07/25/2019,$112.89,882512,$112.55,$112.95,$112.22
07/24/2019,$112.66,897520,$112.93,$113.51,$112.17
07/23/2019,$112.92,1007118,$113.45,$113.524,$112.1
07/22/2019,$113.28,1560905,$112.62,$113.59,$112.4
07/19/2019,$112.53,1387697,$113.46,$113.59,$112.48
07/18/2019,$113.06,1183444,$112.23,$113.37,$112
07/17/2019,$111.77,892846,$111.53,$112.1,$111.37
07/16/2019,$111.54,920717,$111.81,$112.15,$111.18
07/15/2019,$111.93,1164284,$111.29,$112.13,$111.21
07/12/2019,$111.05,1457586,$111.42,$111.82,$110.53
07/11/2019,$111.5,904394,$111.11,$111.51,$110.58
07/10/2019,$110.98,1123381,$110.68,$111.02,$110.1
07/09/2019,$110.49,1116475,$109.83,$110.665,$109.83
07/08/2019,$110.05,1250953,$110.29,$110.47,$109.69
07/05/2019,$110.24,1281007,$110.7,$110.85,$109.775
07/03/2019,$110.98,1049202,$111,$111.32,$110.47
07/02/2019,$110.9,1584142,$109.67,$110.99,$109.4
07/01/2019,$109.49,1788271,$110.46,$110.595,$108.7163
06/28/2019,$110.67,3871236,$110.67,$110.79,$109.24
06/27/2019,$110.56,1611137,$110.24,$110.68,$109.84
06/26/2019,$110.12,1513163,$110.37,$110.49,$109.51
06/25/2019,$110.31,1540812,$110.66,$111.29,$109.9
06/24/2019,$110.66,1023968,$110.61,$110.71,$110.02
06/21/2019,$110.27,2078356,$110.69,$111.06,$110.08
06/20/2019,$110.62,1122569,$109.8,$110.69,$109.73
06/19/2019,$109.45,927584,$108.94,$109.75,$108.27
06/18/2019,$108.71,1050857,$109.87,$109.92,$108.54
06/17/2019,$109.16,825033,$109.93,$110.24,$109.04
06/14/2019,$109.79,1088315,$109.18,$110.12,$109.1008
06/13/2019,$108.98,1173475,$109.05,$109.45,$108.56
06/12/2019,$108.94,1646406,$108.04,$109.49,$108
06/11/2019,$107.57,1801616,$109.11,$109.29,$107.25
06/10/2019,$108.65,1159492,$109.59,$109.59,$107.94
06/07/2019,$109.07,1318211,$108.79,$109.634,$108.56
06/06/2019,$108.42,1598313,$107.51,$108.6,$107.465
06/05/2019,$107.29,1356243,$107.22,$107.6,$106.39
06/04/2019,$106.97,2501697,$105,$107.07,$104.69
06/03/2019,$104.11,2070118,$102.24,$104.36,$101.83
05/31/2019,$102.35,2614229,$100.89,$102.45,$100.74
05/30/2019,$101.55,1464291,$99.88,$101.65,$99.88
05/29/2019,$99.65,998486,$99.59,$99.74,$98.95
05/28/2019,$99.8,3708064,$101.18,$101.81,$99.41
05/24/2019,$100.99,1010773,$101.81,$102.12,$100.92
05/23/2019,$101.39,1134983,$101.28,$101.575,$100.63
05/22/2019,$101.46,1181435,$101.74,$101.93,$101.28
05/21/2019,$101.78,2142517,$101.2,$102.15,$101.03
05/20/2019,$100.69,1344320,$101.12,$101.36,$100.61
05/17/2019,$101.3,1374596,$100.36,$101.47,$100.15
05/16/2019,$100.87,1855378,$101.02,$101.65,$100.52
05/15/2019,$100.36,1076766,$100.25,$100.8812,$100.0157
05/14/2019,$100.68,1363271,$100.43,$101.36,$100.41
05/13/2019,$100.41,1286021,$100.38,$100.78,$99.42
05/10/2019,$101.43,1582325,$100.48,$101.84,$100.23
05/09/2019,$100.74,1296720,$99.98,$100.812,$99.42
05/08/2019,$100.49,2097432,$101.17,$101.345,$100.475
05/07/2019,$101.47,1668889,$101.67,$102.28,$100.53
05/06/2019,$102.41,1031786,$101.56,$102.61,$101.55
05/03/2019,$102.72,1719292,$102.08,$103.48,$102.04
05/02/2019,$101.74,1827418,$101.57,$102.6,$101.23
05/01/2019,$101.94,2178551,$101.5,$102.75,$100.6772
04/30/2019,$104.39,2125799,$103.89,$104.47,$103.445
04/29/2019,$103.8,1468278,$104.15,$104.15,$103.2
04/26/2019,$104.09,1368314,$103.88,$104.44,$103.47
04/25/2019,$103.45,1057906,$103.09,$103.69,$102.51
04/24/2019,$103.34,1298083,$103.26,$104.04,$103.1
04/23/2019,$102.92,1179704,$103.11,$104.19,$102.73
04/22/2019,$103.18,833155,$103,$103.36,$102.73
04/18/2019,$103.32,1247198,$101.7,$103.43,$101.61
04/17/2019,$101.5,917074,$101.88,$102.12,$101.33
04/16/2019,$101.63,863514,$102,$102.08,$101.1301
04/15/2019,$101.64,1233986,$101.38,$102.16,$101.22
04/12/2019,$101.4,1169023,$101,$101.6,$100.9
04/11/2019,$100.77,1169840,$99.81,$100.81,$99.73
04/10/2019,$100.04,1175854,$99.89,$100.46,$99.515
04/09/2019,$99.48,925369,$99.14,$99.52,$98.9872
04/08/2019,$99.59,1339992,$99.76,$99.9,$99
04/05/2019,$99.96,1496938,$100.32,$100.58,$99.85
04/04/2019,$100.45,860706,$100.58,$100.77,$99.94
04/03/2019,$100.54,1046772,$100.49,$100.69,$99.86
04/02/2019,$100.18,959560,$100.7,$100.7,$99.49
04/01/2019,$100.58,1161341,$100.43,$100.76,$99.82
03/29/2019,$99.81,2356619,$99.7,$100.1,$99.18
03/28/2019,$99.14,1538912,$99.02,$99.36,$98.56
03/27/2019,$98.98,1517498,$98.56,$99.4078,$98.56
03/26/2019,$98.75,1361061,$99.12,$99.15,$98.21
03/25/2019,$98.97,1274033,$99.22,$99.51,$98.77
03/22/2019,$98.97,1018063,$99.16,$99.7001,$98.74
03/21/2019,$99.19,1014095,$98.32,$99.28,$98.19
03/20/2019,$98.57,2928764,$98.24,$98.995,$97.96
03/19/2019,$99.24,2169485,$99.54,$100.01,$98.64
03/18/2019,$100.24,1599504,$100.9,$101.39,$99.91
03/15/2019,$100.9,3937985,$99.09,$100.93,$98.73
03/14/2019,$98.98,1319771,$98.3,$98.99,$98.05
03/13/2019,$98.64,2008330,$98.32,$98.961,$98.1701
03/12/2019,$97.98,1841362,$98.04,$98.08,$97.21
03/11/2019,$97.79,1447509,$96.84,$97.82,$96.745
03/08/2019,$96.67,1791392,$95.9,$96.69,$95.61
03/07/2019,$96.54,1898405,$96.45,$96.56,$95.89
03/06/2019,$96.6,1937738,$96.075,$96.95,$96.01
03/05/2019,$95.93,1671920,$95.31,$95.95,$94.83
03/04/2019,$95.14,2291367,$95.8,$95.8,$94.76
03/01/2019,$95.37,1587066,$95,$95.535,$94.95
02/28/2019,$94.5,2335181,$93.06,$94.815,$92.9501
02/27/2019,$93.11,1342353,$93.16,$93.45,$92.5
02/26/2019,$93.36,1640462,$93.37,$93.98,$93
02/25/2019,$93.5,2057645,$95.7,$95.7,$93.18
02/22/2019,$95.39,1932107,$95,$95.4,$94.4936
02/21/2019,$94.88,1364372,$94.53,$95.08,$94.13
02/20/2019,$94.72,2310878,$94.67,$95.2,$94.3604
02/19/2019,$94.52,1999759,$94.25,$94.79,$94.1
02/15/2019,$94.12,2860458,$94.75,$95,$93.85
02/14/2019,$93.85,1527126,$92.93,$94.22,$92.02
02/13/2019,$93.33,1724198,$94.03,$94.23,$92.81
02/12/2019,$94.05,2069034,$94.08,$94.08,$93.07
02/11/2019,$93.26,2457951,$94.43,$95.05,$93.13
02/08/2019,$94.49,1961274,$94,$94.67,$92.98
02/07/2019,$94.61,2629459,$89.5,$94.76,$88.52
02/06/2019,$94.59,1741910,$94.55,$94.65,$93.86
02/05/2019,$94.44,1813831,$94.59,$95.16,$94.16
02/04/2019,$94.65,1668004,$94.19,$94.83,$94.1
02/01/2019,$94.13,1496627,$94.49,$95.45,$93.82
01/31/2019,$93.98,2672786,$93.25,$94.3,$92.5
01/30/2019,$93.45,1553441,$93.06,$93.97,$92.69
01/29/2019,$92.67,1292613,$93.06,$93.77,$92.12
01/28/2019,$92.59,1039606,$92.72,$92.85,$91.66
01/25/2019,$92.71,1495031,$93.63,$93.84,$92.55
01/24/2019,$92.91,1944862,$92.9,$93.23,$92.44
01/23/2019,$92.78,1535434,$92.72,$93.535,$91.98
01/22/2019,$92.05,1947108,$92.19,$93.25,$91.51
01/18/2019,$92.36,1967782,$91.37,$92.74,$91.21
01/17/2019,$90.7,1996118,$89.31,$91.05,$89.31
01/16/2019,$89.83,1449855,$90.25,$90.69,$89.65
01/15/2019,$90.39,1482602,$90.19,$90.54,$89.655
01/14/2019,$90,1392980,$90.01,$90.49,$89.81
01/11/2019,$90.94,2346578,$89.24,$90.95,$89.01
01/10/2019,$91.79,2708867,$90.59,$92.66,$90.35
01/09/2019,$91.14,2235263,$91.61,$91.77,$90.61
01/08/2019,$91.18,2562401,$91.67,$91.94,$89.96
01/07/2019,$91.36,2476461,$91.4,$92.22,$91.12
01/04/2019,$91.46,2110257,$90.19,$92.34,$90.04
01/03/2019,$89.14,2589154,$91,$91,$88.785
01/02/2019,$91.44,1710758,$91.09,$91.54,$90.35
12/31/2018,$91.92,1472289,$91.79,$92.06,$91.29
12/28/2018,$91.61,1488622,$91.58,$92.47,$91.05
12/27/2018,$90.96,2034515,$89.14,$90.99,$88.71
12/26/2018,$89.99,2013843,$87.39,$90.01,$86.9
12/24/2018,$87.02,1805978,$87.81,$88.16,$86.42
12/21/2018,$88.14,5362778,$87.69,$89.25,$87.52
12/20/2018,$87.12,4120516,$89.6,$89.86,$86.4
12/19/2018,$90.12,2542064,$90.47,$92.345,$89.525
12/18/2018,$90.1,1770809,$90.33,$90.62,$89.42
12/17/2018,$89.71,3091133,$91.22,$91.4,$89.28
12/14/2018,$91.7,2109826,$92.66,$92.66,$91.07
12/13/2018,$93.46,3307383,$90.9,$94.13,$90.74
12/12/2018,$90.46,2440995,$89.88,$91.295,$89.64
12/11/2018,$89.81,2143706,$91.14,$91.18,$89.07
12/10/2018,$90.26,2303006,$90.28,$90.62,$88.8301
12/07/2018,$90.43,2995288,$91.5,$92.13,$90.2
12/06/2018,$91.5,3690639,$89.81,$92,$89.59
12/04/2018,$90.68,2488719,$92.2,$92.98,$90.55
12/03/2018,$92.07,3642329,$93.24,$93.24,$91.57
11/30/2018,$92.22,4725055,$91.86,$92.44,$91.31
